date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:00:08	1410/1410	---M-Z	200	added ('OK')	application/x-javascript	etag:%22582-5d0303e3-90e26524baa644f0;gz%22	http://phongon.ca/js/magnific-popup-options.js	C:/My%20Web%20Sites/code/phongon.ca/js/magnific-popup-options.js	(from http://phongon.ca/)
03:00:08	22342/22342	---M-Z	200	added ('OK')	application/x-javascript	etag:%225746-5d0303e3-e86afb6f9adfd3d0;gz%22	http://phongon.ca/js/jquery.flexslider-min.js	C:/My%20Web%20Sites/code/phongon.ca/js/jquery.flexslider-min.js	(from http://phongon.ca/)
03:00:08	46821/46821	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b6e5-5d0303e3-b13e3d05c5339000;gz%22	http://phongon.ca/js/bootstrap-datepicker.js	C:/My%20Web%20Sites/code/phongon.ca/js/bootstrap-datepicker.js	(from http://phongon.ca/)
03:00:09	4575/4575	---M-Z	200	added ('OK')	application/x-javascript	etag:%2211df-5d0303e3-4ffe9f7a5c1c0ed1;gz%22	http://phongon.ca/js/main.js	C:/My%20Web%20Sites/code/phongon.ca/js/main.js	(from http://phongon.ca/)
03:00:09	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c700-90225c5278970af5;gz%22	http://phongon.ca/css/fonts/icomoon.eot?tmere9	C:/My%20Web%20Sites/code/phongon.ca/css/fonts/icomoon649c.eot	(from http://phongon.ca/css/icomoon.css)
03:00:09	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c700-90225c5278970af5;gz%22	http://phongon.ca/css/fonts/icomoon.ttf?tmere9	C:/My%20Web%20Sites/code/phongon.ca/css/fonts/icomoon649c.ttf	(from http://phongon.ca/css/icomoon.css)
03:00:10	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c700-90225c5278970af5;gz%22	http://phongon.ca/css/fonts/icomoon.woff?tmere9	C:/My%20Web%20Sites/code/phongon.ca/css/fonts/icomoon649c.woff	(from http://phongon.ca/css/icomoon.css)
03:00:10	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c700-90225c5278970af5;gz%22	http://phongon.ca/css/fonts/icomoon.svg?tmere9	C:/My%20Web%20Sites/code/phongon.ca/css/fonts/icomoon649c.svg	(from http://phongon.ca/css/icomoon.css)
03:00:14	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5d0303e2-bf3a95bbdcb3d06f;gz%22	http://phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/code/phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.eot	(from http://phongon.ca/css/bootstrap.css)
03:00:15	57431/57431	---M--	200	added ('OK')	image/jpeg	etag:%22e057-5d0303e3-5d9e741dd7ca8709;;;%22	http://phongon.ca/images/dish-2.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/dish-2.jpg	(from http://phongon.ca/)
03:00:17	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5d0303e2-bf3a95bbdcb3d06f;gz%22	http://phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/code/phongon.ca/fonts/bootstrap/glyphicons-halflings-regulard41d.eot	(from http://phongon.ca/css/bootstrap.css)
03:00:18	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%22466c-5d0303e2-3921c7e9b675b4cd;;;%22	http://phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/code/phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.woff2	(from http://phongon.ca/css/bootstrap.css)
03:00:21	116596/116596	---M--	200	added ('OK')	image/jpeg	etag:%221c774-5d0303e3-3cc01647838a2b08;;;%22	http://phongon.ca/images/dish-9.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/dish-9.jpg	(from http://phongon.ca/)
03:00:21	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-5d0303e2-5937439fb3a3201a;;;%22	http://phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/code/phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.woff	(from http://phongon.ca/css/bootstrap.css)
03:00:22	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a8c2-5d0303e2-5d144abcad3ac09e;gz%22	http://phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/code/phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.svg	(from http://phongon.ca/css/bootstrap.css)
03:00:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c700-90225c5278970af5;gz%22	http://phongon.ca/css/owl.video.play.png	C:/My%20Web%20Sites/code/phongon.ca/css/owl.video.play.png	(from http://phongon.ca/css/owl.carousel.min.css)
03:00:23	45404/45404	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22b15c-5d0303e2-9f4c69511ed2b05c;gz%22	http://phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/code/phongon.ca/fonts/bootstrap/glyphicons-halflings-regular.ttf	(from http://phongon.ca/css/bootstrap.css)
03:00:23	2134/2134	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22856-5d0303e2-f07eca169650d2d6;gz%22	http://phongon.ca/fonts/flaticon/font/Flaticon.eot	C:/My%20Web%20Sites/code/phongon.ca/fonts/flaticon/font/Flaticon.eot	(from http://phongon.ca/fonts/flaticon/font/flaticon.css)
03:00:23	1440/1440	---M--	200	added ('OK')	application/font-woff	etag:%225a0-5d0303e2-8f32c67a609a37ab;;;%22	http://phongon.ca/fonts/flaticon/font/Flaticon.woff	C:/My%20Web%20Sites/code/phongon.ca/fonts/flaticon/font/Flaticon.woff	(from http://phongon.ca/fonts/flaticon/font/flaticon.css)
03:00:23	2134/2134	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22856-5d0303e2-f07eca169650d2d6;gz%22	http://phongon.ca/fonts/flaticon/font/Flaticon.eot?	C:/My%20Web%20Sites/code/phongon.ca/fonts/flaticon/font/Flaticond41d.eot	(from http://phongon.ca/fonts/flaticon/font/flaticon.css)
03:00:24	1956/1956	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%227a4-5d0303e2-dfacbdce3ef8e512;gz%22	http://phongon.ca/fonts/flaticon/font/Flaticon.ttf	C:/My%20Web%20Sites/code/phongon.ca/fonts/flaticon/font/Flaticon.ttf	(from http://phongon.ca/fonts/flaticon/font/flaticon.css)
03:00:24	3857/3857	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f11-5d0303e2-8694944ba2768bed;gz%22	http://phongon.ca/fonts/flaticon/font/Flaticon.svg	C:/My%20Web%20Sites/code/phongon.ca/fonts/flaticon/font/Flaticon.svg	(from http://phongon.ca/fonts/flaticon/font/flaticon.css)
03:00:49	332916/332916	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2251474-5d0303e2-578a723e82bc0254;gz%22	http://phongon.ca/fonts/icomoon/icomoon.eot?srf3rx	C:/My%20Web%20Sites/code/phongon.ca/fonts/icomoon/icomoona57c.eot	(from http://phongon.ca/css/style.css)
03:00:50	332752/332752	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22513d0-5d0303e2-7ad6fe35e84e7be9;gz%22	http://phongon.ca/fonts/icomoon/icomoon.ttf?srf3rx	C:/My%20Web%20Sites/code/phongon.ca/fonts/icomoon/icomoona57c.ttf	(from http://phongon.ca/css/style.css)
03:00:51	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c700-90225c5278970af5;gz%22	http://phongon.ca/images/loader.gif	C:/My%20Web%20Sites/code/phongon.ca/images/loader.3d.delayed	(from http://phongon.ca/css/style.css)
03:01:04	1118831/1118831	---MCZ	200	added ('OK')	image/svg+xml	etag:%2211126f-5d0303e2-ba4134be2356aae7;gz%22	http://phongon.ca/fonts/icomoon/icomoon.svg?srf3rx	C:/My%20Web%20Sites/code/phongon.ca/fonts/icomoon/icomoona57c.svg	(from http://phongon.ca/css/style.css)
03:01:05	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c700-90225c5278970af5;gz%22	http://phongon.ca/.all	C:/My%20Web%20Sites/code/phongon.ca/.3f.delayed	(from http://phongon.ca/menu.html)
03:01:21	332828/332828	---M--	200	added ('OK')	application/font-woff	etag:%225141c-5d0303e2-718a712aa4c7a737;;;%22	http://phongon.ca/fonts/icomoon/icomoon.woff?srf3rx	C:/My%20Web%20Sites/code/phongon.ca/fonts/icomoon/icomoona57c.woff	(from http://phongon.ca/css/style.css)
03:01:29	222097/222097	---M--	200	added ('OK')	image/jpeg	etag:%2236391-5d0303e3-aefd59ee87ada4b4;;;%22	http://phongon.ca/images/gallery-fondo.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/gallery-fondo.jpg	(from http://phongon.ca/css/style.css)
03:01:40	116994/116994	---M--	200	added ('OK')	image/jpeg	etag:%221c902-60281af5-7ffa6979170d35e2;;;%22	http://phongon.ca/images/101s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/101s.jpg	(from http://phongon.ca/menu.html)
